page,url,ss,source_query,URL_STRUCTURE_PASS,WANDROZ_QUERY_MATCH,BOOKING_DESTINATION_VERIFIED,AFFILIATE_ATTRIBUTION_VERIFIED,destination_class,notes
amsterdam/frankendael,https://www.booking.com/searchresults.html?ss=Frankendael%2C%20Amsterdam%2C%20Netherlands,"Frankendael, Amsterdam, Netherlands","Frankendael, Amsterdam, Netherlands",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
amsterdam/frederik-hendrikbuurt,https://www.booking.com/searchresults.html?ss=Frederik%20Hendrikbuurt%2C%20Amsterdam%2C%20Netherlands,"Frederik Hendrikbuurt, Amsterdam, Netherlands","Frederik Hendrikbuurt, Amsterdam, Netherlands",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
amsterdam/ganzenhoef-e-o,https://www.booking.com/searchresults.html?ss=Ganzenhoef%20e.o.%2C%20Amsterdam%2C%20Netherlands,"Ganzenhoef e.o., Amsterdam, Netherlands","Ganzenhoef e.o., Amsterdam, Netherlands",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
amsterdam/geerdinkhof-kantershof,https://www.booking.com/searchresults.html?ss=Geerdinkhof/Kantershof%2C%20Amsterdam%2C%20Netherlands,"Geerdinkhof/Kantershof, Amsterdam, Netherlands","Geerdinkhof/Kantershof, Amsterdam, Netherlands",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
amsterdam/gein,https://www.booking.com/searchresults.html?ss=Gein%2C%20Amsterdam%2C%20Netherlands,"Gein, Amsterdam, Netherlands","Gein, Amsterdam, Netherlands",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
amsterdam/geuzenbuurt,https://www.booking.com/searchresults.html?ss=Geuzenbuurt%2C%20Amsterdam%2C%20Netherlands,"Geuzenbuurt, Amsterdam, Netherlands","Geuzenbuurt, Amsterdam, Netherlands",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
amsterdam/geuzenveld,https://www.booking.com/searchresults.html?ss=Geuzenveld%2C%20Amsterdam%2C%20Netherlands,"Geuzenveld, Amsterdam, Netherlands","Geuzenveld, Amsterdam, Netherlands",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
amsterdam/grachtengordel-west,https://www.booking.com/searchresults.html?ss=Grachtengordel-West%2C%20Amsterdam%2C%20Netherlands,"Grachtengordel-West, Amsterdam, Netherlands","Grachtengordel-West, Amsterdam, Netherlands",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
amsterdam/grachtengordel-zuid,https://www.booking.com/searchresults.html?ss=Grachtengordel-Zuid%2C%20Amsterdam%2C%20Netherlands,"Grachtengordel-Zuid, Amsterdam, Netherlands","Grachtengordel-Zuid, Amsterdam, Netherlands",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
amsterdam/h-buurt,https://www.booking.com/searchresults.html?ss=H-buurt%2C%20Amsterdam%2C%20Netherlands,"H-buurt, Amsterdam, Netherlands","H-buurt, Amsterdam, Netherlands",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
amsterdam/haarlemmerbuurt,https://www.booking.com/searchresults.html?ss=Haarlemmerbuurt%2C%20Amsterdam%2C%20Netherlands,"Haarlemmerbuurt, Amsterdam, Netherlands","Haarlemmerbuurt, Amsterdam, Netherlands",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
amsterdam/havens-west,https://www.booking.com/searchresults.html?ss=Havens-West%2C%20Amsterdam%2C%20Netherlands,"Havens-West, Amsterdam, Netherlands","Havens-West, Amsterdam, Netherlands",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
amsterdam/helmersbuurt,https://www.booking.com/searchresults.html?ss=Helmersbuurt%2C%20Amsterdam%2C%20Netherlands,"Helmersbuurt, Amsterdam, Netherlands","Helmersbuurt, Amsterdam, Netherlands",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
amsterdam/holendrecht,https://www.booking.com/searchresults.html?ss=Holendrecht%2C%20Amsterdam%2C%20Netherlands,"Holendrecht, Amsterdam, Netherlands","Holendrecht, Amsterdam, Netherlands",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
